BveTs Station List 1.00
#stationKey,stationText,arrivalTime,depertureTime,stoppageTime,defaultTime,signalFlag,alightingTime,passengers,arrivalSoundKey,depertureSoundKey,doorReopen,stuckInDoor
0,博麗電車区,7:14:20,7:15:10,47,7:14:20,1,0,0,,,0,0
1,博麗神社 ②,07:19:10,07:21:10,51,07:19:10,1,0,0,102-hkr,hakurei-t2-local-dep,0,0
2,南   博   麗,07:26:00,07:26:30,30,07:26:00,0,0,0,102-s1,minamihakurei,0,0
3,永   遠   亭,07:31:40,07:32:10,30,07:31:40,0,0,0,102-s1,eientei,0,0
4,竹         林,07:35:30,07:36:00,30,07:35:30,0,0,0,102-s1,chikurin,0,0
5,南人間の里,07:42:00,07:42:40,40,,0,0,0,minaminingen1,minaminingen2,0,0
6,人間の里 ④,07:44:50,07:47:00,47,07:44:50,1,0,0,ningen1+102nin,ningen-t4-localdep,0,0
7,西人間の里,07:49:50,07:50:25,35,07:49:50,0,0,0,nishiningen1,nishiningen2,0,0
8,命   蓮   寺,07:54:30,07:55:10,30,07:54:30,0,0,0,,myorenji,0,0
9,北 命 蓮 寺,07:57:05,07:57:35,30,07:57:35,0,0,0,102-s2,kitamyorenji,0,0
10,妖怪の樹海,08:02:10,08:02:40,30,08:02:10,0,0,0,102-s2,jyukai,0,0
11,草         田,08:05:15,08:05:45,30,08:05:15,0,0,0,102-s2,kusada,0,0
12,守矢神社 ②,08:08:15,08:10:15,38,08:08:15,1,0,0,moriya1+102mry,moriya-t2-localdep,0,0
13,風 神 の 湖,08:12:50,08:13:35,13,08:12:50,0,0,0,102-s3,cl-nomusic,0,0
14,東守矢（信）,p,,30,,0,0,0,,,0,0
15,玄 武 の 沢,08:19:50,08:20:20,13,08:19:50,0,0,0,102-s3,cl-nomusic,0,0
16,香 霖 堂 前,08:24:40,08:25:40,25,08:24:40,1,0,0,,korindo,0,0
17,魔 法 の 森,08:28:05,08:28:50,24,08:28:05,0,0,0,102-s3,mahonomori,0,0
18,霧   の   湖,08:31:35,08:32:20,24,08:31:35,0,0,0,102-s3,kirinoko,0,0
19,紅 魔 館①,08:34:20,08:36:20,41,08:34:20,1,0,0,kouma1+102kmk,kouma-t1-loop-local-dep,0,0
20,上 霧 の 湖,08:39:20,08:40:05,24,08:39:20,0,0,0,102-s4,kirinoko,0,0
21,北   博   麗,08:42:00,08:42:45,30,08:42:00,0,0,0,102-s4,kitahakurei,0,0
22,博麗神社_②,08:44:50,t,45,08:44:50,1,0,0,hakurei1,,0,0
